id,title,short_title,year,country
381,'Joshuu Sasori: Dai-41 Zakkyo-Bou (aka, Female Convict Scorpion: Jailhouse 41)','femaleconvictscorpion',1972,'Japan'
382,'Punch-Drunk Love','punchdrunklove',2002,'U.S.'
383,'The Princess Bride','princessbride',1987,'U.S.'
384,'Sid and Nancy','sidandnancy',1986,'U.S. / U.K.'
385,'Jazz: Episode One - Gumbo','jazzepisodeone',2001,'U.S. / U.K.'
386,'Jazz: Episode Two - The Gift','jazzepisodetwo',2001,'U.S. / U.K.'
387,'Coal Miner\'s Daughter','coalminersdaughter',1980,'U.S.'
388,'Tombstone','tombstone',1993,'U.S.'
389,'Ringu','ringu',1998,'Japan'
390,'Jazz: Episode Three - Our Language','jazzepisodethree',2001,'U.S. / U.K.'
391,'Starship Troopers','starshiptroopers',1997,'U.S.'
392,'Seeing Red','seeingred',1983,'U.S.'
393,'The Pink Panther','pinkpanther',1964,'U.S. / U.K.'
394,'Casa de los Babys','casadelosbabys',2003,'U.S.'
395,'King of New York','kingofnewyork',1990,'U.S.'
396,'The Visitors','thevisitors',1993,'France'
397,'Chunhyang','chunhyang',2000,'South Korea'
398,'The Man Who Shot Liberty Valance','libertyvalance',1962,'U.S.'
399,'Seabiscuit','seabiscuit',2003,'U.S.'
400,'Tandem (aka, Chikan Densha Hitozuma-hen: Okusama wa Chijo)','tandem',1994,'Japan'
401,'Hi! Dharma!','hidharma',2001,'South Korea'
402,'Monty Python\'s The Meaning of Life','themeaningoflife',1983,'U.K.'
403,'Zatouichi Monogatari','zatouichimonogotari',1962,'Japan'
404,'Limbo','limbo',1999,'U.S.'
405,'Once Upon A Time In Mexico','onceuponatimeinmexico',2003,'Mexico / U.S.'
406,'Once Upon A Time In America','onceuponatimeinamerica',1984,'U.S.'
407,'Sex: The Annabel Chong Story','sex',1999,'U.S.'
408,'When We Were Kings','whenwewerekings',1996,'U.S.'
409,'Investigation of a Citizen Above Suspicion','investigationofacitizen',1970,'Italy'
410,'Bubba Ho-Tep','bubbahotep',2002,'U.S.'
411,'Head of State','headofstate',2003,'U.S.'
412,'The Tailor of Panama','tailorofpanama',2001,'U.S.'
413,'The Mack','themack',1973,'U.S.'
414,'Lianna','lianna',1983,'U.S.'
415,'Kill Bill Volume 1','killbillvol1',2003,'U.S.'
416,'Mystic River','mysticriver',2003,'U.S.'
417,'The Quiet American','thequietamerican',2002,'U.S.'
418,'The Killing of a Chinese Bookie','killingofachinesebookie',1976,'U.S.'
419,'The School of Rock','schoolofrock',2003,'U.S.'
420,'Les Triplettes de Belleville','triplettes',2003,'France / Belgium / Canada'
421,'Centre Stage','centrestage',1992,'Hong Kong'
422,'Secretary','secretary',2002,'U.S.'
423,'8 Mile','8mile',2002,'U.S.'
424,'Zero Effect','zeroeffect',1998,'U.S.'
425,'Big Fish','bigfish',2003,'U.S.'
426,'Snow Falling on Cedars','snowfallingoncedars',1999,'U.S.'
427,'The Good, the Bad and the Ugly','thegoodthebadandtheugly',1966,'Italy'
428,'The Lord of the Rings: The Return of the King','returnoftheking',2003,'New Zealand'
429,'Peter Pan','peterpan',2003,'U.S.'
430,'The Battle of Algiers','battleofalgiers',1965,'Algeria / Italy'
431,'Arabian Nights','arabiannights',2000,'U.S.'
432,'Doctor Zhivago','drzhivago',1965,'U.S.'
433,'The Brother From Another Planet','brotherfromanotherplanet',1984,'U.S.'
434,'Capturing the Friedmans','capturingthefriedmans',2003,'U.S.'
435,'Close Encounters of the Third Kind','closeencounters',1977,'U.S.'
436,'My Sassy Girl (aka, Yupki Girl)','mysassygirl',2001,'South Korea'
437,'The Great Escape','greatescape',1963,'U.S.'
438,'Murder By Death','murderbydeath',1976,'U.S.'
439,'Mirai Shounen Konan (aka, Future Boy Conan)','futureboyconan',1978,'Japan'
440,'Failan','failan',2001,'South Korea'
441,'Basic Instinct','basicinstinct',1992,'U.S.'
442,'My Architect: A Son\'s Journey','myarchitect',2003,'U.S.'
443,'Firefly','firefly',2002,'U.S.'
444,'The Navigators','thenavigators',2001,'U.K.'
445,'Return of the Secaucus 7','returnofthesecaucus7',1980,'U.S.'
446,'Classic','classic',2003,'South Korea'
447,'Kaze no Tani no Naushika (aka, Nausica&#228; of the Valley of the Winds)','kazenotaninonaushika',1984,'Japan'
448,'Eternal Sunshine of the Spotless Mind','eternalsunshine',2004,'U.S.'
449,'Hellboy','hellboy',2004,'U.S.'
450,'The Girl Next Door','girlnextdoor',2004,'U.S.'
451,'Spring, Summer, Fall, Winter... and Spring','springsummer',2003,'South Korea'
452,'Easy Rider','easyrider',1969,'U.S.'
453,'Azumi','azumi',2003,'Japan'
454,'Tasogare Samurai (aka, Twilight Samurai)','tasogaresamurai',2002,'Japan'
455,'Menace II Society','menaceiisociety',1993,'U.S.'
456,'The Rundown','therundown',2003,'U.S.'
457,'The Medallion','themedallion',2003,'Hong Kong / U.S.'
458,'Johnny English','johnnyenglish',2003,'U.K.'
459,'Secondhand Lions','secondhandlions',2003,'U.S.'
460,'My Big Fat Greek Wedding','mybigfatgreekwedding',2002,'U.S.'
461,'Down To Earth','downtoearth',2001,'U.S.'
462,'My Boss\'s Daughter','mybosssdaughter',2003,'U.S.'
463,'Meet The Parents','meettheparents',2000,'U.S.'
464,'Monster','monster',2003,'U.S.'
465,'My Baby\'s Daddy','mybabysdaddy',2004,'U.S.'
466,'Drunken Master II','drunkenmaster2',1994,'Hong Kong'
